model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 C-HR,2017,20575,Automatic,25038,Hybrid,0,74.3,1.8
 C-HR,2017,14860,Automatic,27850,Petrol,150,47.9,1.2
 Prius,2017,19750,Automatic,23343,Hybrid,135,94.1,1.8
 Prius,2016,20000,Automatic,48153,Other,10,64.2,1.8
 Prius,2019,23750,Automatic,6451,Other,135,61.4,1.8
 Prius,2013,14498,Automatic,68057,Hybrid,0,68.9,1.8
 Prius,2018,19998,Automatic,16634,Hybrid,135,94.1,1.8
 Prius,2017,17498,Automatic,37071,Hybrid,135,85.6,1.8
 Prius,2017,17498,Automatic,27899,Hybrid,0,94.1,1.8
 Prius,2019,22998,Automatic,9776,Hybrid,135,64.2,1.8
 Prius,2013,13495,Automatic,84553,Hybrid,0,68.9,1.8
 Prius,2014,15362,Automatic,50647,Hybrid,0,134.5,1.8
 Prius,2015,18795,Automatic,48911,Hybrid,0,68.9,1.8
 Prius,2016,19523,Automatic,21720,Hybrid,0,85.6,1.8
 Avensis,2016,9995,Manual,61300,Diesel,20,67.3,1.6
 Avensis,2018,14495,Manual,31174,Diesel,145,61.4,2.0
 Avensis,2017,13998,Manual,11855,Petrol,145,47.1,1.8
 Avensis,2018,13695,Manual,37191,Diesel,145,67.3,1.6
 Avensis,2018,12995,Manual,32236,Diesel,145,67.3,1.6
 Avensis,2016,10895,Manual,30879,Diesel,20,67.3,1.6
 Verso,2011,5999,Manual,67085,Petrol,200,41.5,1.6
 Verso,2016,10990,Manual,19000,Petrol,205,41.5,1.6
 Verso,2016,14995,Automatic,22703,Petrol,165,43.5,1.8
 Verso,2017,15995,Automatic,13900,Petrol,165,43.5,1.8
 Verso,2015,13994,Automatic,19293,Petrol,200,41.5,1.8
 Verso,2016,11691,Manual,19417,Petrol,200,41.5,1.6
 Hilux,2018,20998,Manual,13099,Diesel,260,40.4,2.4
 Hilux,2016,13695,Manual,69921,Diesel,260,40.4,2.4
 Hilux,2017,18250,Manual,32000,Diesel,260,40.4,2.4
 Hilux,2014,11495,Manual,88912,Diesel,260,38.7,2.5
 Hilux,2019,28495,Automatic,3350,Diesel,260,2.8,2.4
 Hilux,2018,23995,Manual,12086,Diesel,260,40.4,2.4
 Hilux,2018,23698,Automatic,21189,Diesel,260,36.2,2.4
 Hilux,2018,22998,Manual,12335,Diesel,260,40.4,2.4
 Hilux,2016,19498,Automatic,30848,Diesel,260,32.8,3.0
 Hilux,2019,31198,Automatic,18645,Diesel,260,36.2,2.4
 Hilux,2016,15498,Automatic,55883,Diesel,260,32.8,3.0
 Hilux,2019,25998,Automatic,23160,Diesel,260,36.2,2.4
 Hilux,2018,20998,Automatic,15146,Diesel,260,36.2,2.4
 Hilux,2015,9995,Manual,80069,Diesel,260,38.7,2.5
 PROACE VERSO,2019,27998,Automatic,5,Diesel,145,38.7,2.0
 PROACE VERSO,2019,27998,Automatic,10,Diesel,145,38.7,2.0
 PROACE VERSO,2019,27998,Automatic,240,Diesel,145,38.7,2.0
 PROACE VERSO,2020,47990,Automatic,1255,Diesel,145,38.7,2.0
 Land Cruiser,2019,39498,Semi-Auto,11712,Diesel,145,30.1,2.8
 Land Cruiser,2016,33000,Semi-Auto,22583,Diesel,300,38.2,2.8
 Land Cruiser,2020,44995,Semi-Auto,200,Diesel,150,30.1,2.8
 Land Cruiser,2015,32498,Automatic,16871,Diesel,325,34.9,3.0
 Land Cruiser,2019,39498,Semi-Auto,12543,Diesel,145,30.1,2.8
 Land Cruiser,2015,24995,Semi-Auto,75000,Diesel,330,34.9,3.0
 Land Cruiser,2014,23995,Manual,53252,Diesel,325,34.9,3.0
 Land Cruiser,2015,29070,Semi-Auto,45158,Diesel,325,34.9,3.0
 Land Cruiser,2019,42444,Semi-Auto,10083,Diesel,145,30.1,2.8
 Land Cruiser,2019,40999,Semi-Auto,11619,Diesel,145,30.1,2.8
 Land Cruiser,2019,42995,Semi-Auto,16634,Diesel,145,30.1,2.8
 Land Cruiser,2019,49995,Automatic,6836,Diesel,145,30.1,2.8
 Supra,2019,47498,Semi-Auto,327,Petrol,145,34.5,3.0
 Supra,2019,49994,Semi-Auto,500,Petrol,145,34.5,3.0
 Supra,2019,47500,Semi-Auto,5,Petrol,145,34.5,3.0
 Supra,2019,51995,Semi-Auto,250,Petrol,145,34.5,3.0
 Supra,2019,51995,Semi-Auto,1902,Petrol,145,34.5,3.0
 Supra,2019,49490,Automatic,162,Petrol,145,34.5,3.0
 Supra,2019,59995,Automatic,9909,Other,150,34.5,3.0
 Camry,2019,29990,Automatic,4600,Hybrid,135,52.3,2.5
 Camry,2019,25990,Automatic,6000,Hybrid,135,52.3,2.5
 Camry,2019,24990,Automatic,5145,Hybrid,135,52.3,2.5
 Camry,2020,26490,Automatic,10000,Hybrid,135,52.3,2.5
 Camry,2019,27545,Automatic,5059,Hybrid,135,52.3,2.5
 Camry,2019,28495,Automatic,4998,Hybrid,140,52.3,2.5
 Camry,2019,26491,Automatic,4416,Hybrid,135,52.3,2.5
 Camry,2019,25990,Automatic,10732,Hybrid,135,52.3,2.5
 Verso-S,2013,6995,Manual,33900,Petrol,125,51.4,1.3
 Verso-S,2011,4450,Manual,73000,Petrol,125,51.4,1.3
 Verso-S,2012,5795,Automatic,61237,Petrol,30,54.3,1.3
 IQ,2009,3995,Automatic,27292,Petrol,20,60.1,1.0
 IQ,2009,3495,Manual,43000,Petrol,0,65.7,1.0
 IQ,2009,2699,Manual,74095,Petrol,0,65.7,1.0
 IQ,2013,4950,Manual,72913,Petrol,30,54.3,1.3
 IQ,2013,4849,Manual,41142,Petrol,0,64.2,1.0
 IQ,2011,5995,Automatic,29000,Petrol,20,58.9,1.0
 IQ,2012,2495,Manual,72498,Petrol,0,64.2,1.0
 IQ,2011,5500,Automatic,30000,Petrol,20,58.9,1.0
 Urban Cruiser,2011,4985,Manual,36154,Petrol,125,50.4,1.3
 Urban Cruiser,2012,4995,Manual,46000,Diesel,125,57.6,1.4
 Urban Cruiser,2011,3995,Manual,60700,Petrol,125,50.4,1.3
 Urban Cruiser,2011,4495,Manual,45128,Petrol,125,50.4,1.3
